,title,cast,description,genre,duration,release_year,country,rating
110,44cats,sarah natochenny  suzy myers  simona berman  erica schroeder  marca leigh  scottie ray  henry f. benjamin,paw-esome tale abound singing furry friend lampo milady pilou meatball band together .,kids',two,2018,italy,tv-y7
111,45rpm,carlos cuevas  guiomar puerta  ivã¡n marcos  israel elejalde  eudald font  luis larrodera  carmen gutiã©rrez  diana gã³mez  vito sanz  marina san josã©  pere ponce  joan pera,1960s madrid music producer guillermo rojas launch rock ' n ' roll label help aspiring singer robert clever producer maribel .,international,one,2019,spain,r
129,60daysin,,recruited sheriff volunteer infiltrate county prison expose corruption crime within system docuseries .,reality,one,2019,united states,r
131,7(seven),rahman  havish  regina cassandra  nandita swetha  anisha ambrose  tridha choudhury  pujitha ponnada  aditi arya,multiple woman report husband missing appears looking man police officer trace cryptic connection .,tv,one,2019,india,tv-pg
133,7daysout,,witness excitement drama behind scene seven day leading major live event world sport fashion space food .,docuseries,one,2018,united states,tv-pg
136,72cutestanimals,,series examines nature cuteness adorability help animal specie survive thrive variety environments .,docuseries ,one,2016,australia,tv-pg
137,72dangerousanimals:asia,bob brisbane,fang claw venomous sting wield deadly weapons. creature crowned fiercest ?,docuseries ,one,2018,australia,tv-pg
138,72dangerousanimals:latinamerica,bob brisbane,powerful cat indestructible arachnid flesh-melting pit viper beginning series latin america ' deadliest creatures .,docuseries ,one,2017,australia  united states,tv-pg
139,72dangerousplacestolive,mitch ryan,get close personal avalanche fiery volcano natural cataclysm learn choose live destructive paths .,docuseries ,one,2016,australia,tv-pg
140,7seeds,nao toyama  jun fukuyama  katsuyuki konishi  yoko soumi  kana asumi  akira ishida  aoi yuki  kazuhiko inoue  yoko hikasa  hirofumi nojima  ryotaro okiayu  eri kitamura  mamiko noto  ryo hirohashi  shizuka ito  hisao egawa  mayumi asano  kenta miyake  ai kakuma  kaito ishikawa  mikako komatsu  daisuke sakaguchi  takanori hoshino  kenjiro tsuda  nozomu sasaki  kenji nojima  houko kuwashima  kensho ono  takahiro sakurai  haruka chisuga  yu shimamura  takuma terashima  takuya sato  junko minagawa  masashi sugawara  sho hayami  kazuyuki okitsu  minako kotobuki,shy natsu awakens part group chosen ensure survival humanity. together survive changed earth .,anime,two,2020,,r
141,9monthsthatmadeyou,demetri goritsas,witness wonder human gestation cutting-edge cgi learn nine month inside womb affect aspect one ' life .,british,one,2016,united states,tv-pg
151,aboynamefloraa,crowd lu  tsai chen-nan  lotus wang  fan chu-mei  hsieh ying-shiuan  vera yen  cammy chiang,28-year-old layabout begin re-examine life dysfunctional family assembles pay respect dying grandmother wonâ€ ™t pas .,international,one,2017,taiwan,r
179,agoodwife,tien hsin  christopher lee  darren chiu  shara lin  blaire chang  xi man-ning  chu de-kang,seemingly idyllic life begin crumble lonely woman restrictive marriage start affair gentle bookstore owner .,international,one,2013,taiwan,tv-pg
187,ahouseofblocks,eli shi  phoebe lin  chen wan-ting  fan chen-fei  lu hsueh-feng  figaro tseng  winnie chang  elten ting,yijuan mentally ill sister kaiqi struggle happy face misfortune criminal intrigue marital strife exorcism ghost .,international,one,2017,taiwan,tv-pg
190,akoreanodyssey,lee seung-gi  cha seung-won  oh yeon-seo  lee hong-gi  jang gwang  lee se-young,self-serving mythical creature ' bid invincibility backfire find mercy woman see otherworldly beings .,international,one,2017,south korea,r
194,alioninthehouse,,five kid resilient family navigate treatment trauma pediatric cancer documentary filmed course six years .,tv,one,2006,united states,tv-pg
196,alittlehelpwithcarolburnett,carol burnett  russell peters  mark cuban  taraji p. henson  brittany snow  wanda sykes  derek hough  billy eichner  lisa kudrow  candace cameron bure  dj khaled  tony hale  julie bowen,comedy icon carol burnett return tv panel clever kid help adult celebrity guest solve problem brutal honesty .,stand-up,one,2018,united states,tv-pg
197,alittlethingcalledfirstlove,lai kuan-lin  zhao jinmai  wang runze  chai wei  wang bowen,shy college student knack drawing develops crush musically gifted classmate embarks journey self-discovery .,international,one,2019,china,tv-pg
198,alovesobeautiful,kim yo-han  so joo-yeon  yeo hoi-hyun  jeong jin-hwan  jo hye-joo  yun seo-hyun  cho ryun  kim sung-gon  seong hye-min  park ji-won,love tough sweet lovestruck teenager whose relationship next-door neighbor transforms grow adulthood .,international,one,2020,south korea,tv-pg
201,amancalledgod,song il-gook  han chae-young  kim min-jong  go eun han  jung hoon lee  nam da-reum  yoo in-young,raised america government agent choi kang-ta return korea skill assassin thirst revenge fatherâ€ ™s killers .,crime,one,2010,south korea,tv-pg
212,aperfectcrime,,docuseries investigates 1991 killing politician detlev rohwedder unsolved mystery heart germany ' tumultuous reunification .,crime,one,2020,germany,tv-pg
217,aqueenisborn,gloria groove  alexia twister,gloria groove alexia twister make drag dream come true help six artist find confidence stage makeover show .,international,one,2020,brazil,tv-pg
224,aseriesofunfortunateevents,neil patrick harris  patrick warburton  malina weissman  louis hynes  k. todd freeman  joan cusack  aasif mandvi,extraordinary baudelaire orphan face trial tribulation evil count olaf fateful quest unlock long-held family secrets .,kids',three,2019,united states,tv-pg
234,ataiwanesetaleoftwocities,tammy chen  james wen  peggy tseng  denny huang,taipei doctor san francisco engineer swap home daring pact embarking journey filled trial secret unexpected encounters .,international,one,2018,taiwan,r
238,athousandgoodnights,cindy lien  nicholas teo  yao ai-ning  li chung-lin  chen bor-jeng  miao ke-li,carry dad ' wish discover root dai tian-qing embarks journey around taiwan find love redemption way .,international,one,2019,taiwan,tv-pg
240,atouchofgreen,weber yang  cheryl yang  tien hsin  gabriel lan  wu kang-jen  cindy lien  wen chen-ling  hans chung,amid turmoil china ' civil war family kuomintang pilot face pain leaving home find strength shared bonds .,international,one,2016,taiwan,r
247,averysecretservice,hugo becker  wilfred benaã¯che  christophe kourotchkine  karim barras  bruno paviot  jean-ã‰douard bodziak  mathilde warnier  josã©phine de la baume  marie-julie baup  antoine gouy  julie farenc,height cold war 1960 andrã © merlaux join french secret service contends enemy foreign bureaucratic .,international,two,2018,france,r
255,ayearinspace,scott kelly,two astronaut attempt brave life earth ' orbit record-setting mission see human endurance survive flight mars .,docuseries ,one,2015,united states,tv-pg
257,ayoungdoctor'snotebookandotherstories,daniel radcliffe  jon hamm  adam godley  christopher godwin  rosie cavaliero  vicki pepperdine  margaret clunie  tim steed  shaun pye,set russian revolution comic miniseries based doctor ' memory early career working out-of-the-way village .,british,two,2013,united kingdom,r
258,a.d.kingdomandempire,juan pablo di pace  adam levy  chipo chung  babou ceesay  emmett scanlan  will thorp  richard coyle  vincent regan  greta scacchi  james callis  joanne whalley  jodhi may  chris brazier  fraser ayres  jã³hannes haukur jã³hannesson  ken bones  kenneth collard,wake jesus christ ' crucifixion apostle dedicate spreading message risking freedom lives .,tv,one,2015,united states,tv-pg
259,a.i.c.o.,haruka shiraishi  yusuke kobayashi  makoto furukawa  taishi murata  kaori nazuka  mãƒ»aãƒ»o  ryota takeuchi  ai kayano  toru okawa  takehito koyasu  atsuko tanaka,everything aiko knew wa lie. ' joining team diver reach place burst began stop good save family .,anime,one,2018,japan,tv-pg
275,abbyhatcher,macy drouin  wyatt white  paul sun-hyung lee  michela luci  christian dal dosso  laaibah alvi  leo orgil,big-hearted girl help fuzzly friend live family ' hotel exploring feeling fixing mishap embracing special quirks .,kids',one,2019,united states  canada,tv-y
283,abnormalsummit,hyun-moo jun  si-kyung sung  se-yoon yoo,led trio korean celebs multinational panel men engage â€ “ usually â€ “ lighthearted debate issue surround korea beyond .,international,two,2017,south korea,tv-pg
287,abstract:theartofdesign,christoph niemann  tinker hatfield  es devlin  bjarke ingels  paula scher  platon  ilse crawford  ralph gilles,step inside mind innovative designer variety discipline learn design impact every aspect life .,docuseries,two,2019,united states,tv-pg
288,absurdplanet,afi ekulona,cast quirky critter mother nature narrate funny science series peek life earthâ€ ™s incredible animals .,docuseries ,one,2020,united states,tv-pg
289,abyss,park bo-young  ahn hyo-seop  lee sung-jae  lee si-eon  han so-hee  kwon soo-hyun  kim sa-rang  ahn se-ha  yun yoo-sun,meeting untimely demise separate incident cha min go se-yeon discover theyâ€ ™ve come back life new body donâ€ ™t recognize .,crime,one,2019,south korea,tv-pg
293,accidentallyinlove,junchen guo  yi ning sun  yi qin zhao  mu xuan cheng  li ma  mo zhou,rejecting demand wealthy family young woman pose ordinary college student cross path stoic pop star school .,international,one,2018,china,tv-pg
302,advitam,yvan attal  garance marillier  niels schneider  victor assiã©  rod paradot  anne azoulay  adel bencherif,future regeneration technology let human live indefinitely cop troubled young woman investigate strange wave youth suicides .,crime,one,2018,france,r
305,adamruinseverything,adam conover  adam lustick  emily axford,education fun â€ “ funny. comedian adam conover burst misconception deconstructs topic leaf positive takeaways .,tv,one,2018,united states,tv-pg
318,afflicted,,baffling symptoms. controversial diagnoses. costly treatments. seven people chronic illness search answer â€ “ relief .,docuseries ,one,2018,united states,r
320,africa,david attenborough,five-part nature series chronicle fascinating story survival african continent home diverse animal life planet .,british,one,2013,united kingdom,tv-pg
321,afronta!facingit!,loo nascimento  ingrid silva  rincon sapiãªncia  batekoo  gabriel martins  benjamin abras  daniele damata  tasha & tracie okereke  mariana de matos  andrã© novais  mahal pita  grace passã´  thamyra thã¢mara  xenia franã§a  criola  dani ornellas  anelis assumpã§ã£o  magã¡ moura  tã¡ssia reis  liniker  yasmin thaynã¡  raquel virgã­nia  juliana luna  erica malunguinho  diane lima  karol conkã¡,docuseries spotlight afro-brazilian thinker sharing individual journey discussing representation entrepreneurship community .,docuseries ,one,2017,brazil,tv-pg
323,afterlife,ricky gervais  tom basden  tony way  diane morgan  mandeep dhillon  david bradley  ashley jensen  kerry godliman,struggling come term wife ' death writer newspaper adopts gruff new persona effort push away trying help .,british,two,2020,united kingdom,r
332,againstthetide,christopher lee  rui en  desmond tan  zheng geping  zhang zhenhuan  paige chua  xu bin  carrie wong,detective psychologist investigating string murder form crime-solving team novelist whose work inspired killings .,crime,one,2014,singapore,tv-pg
334,agegaplove,fay ripley,despite social backlash challenge come intergenerational romance couple choose stick together thick thin .,british,one,2017,united kingdom,r
335,ageofglory,debbie goh  aenie wong  frederick lee  leslie chai,amid thriving nightlife 1960s kuala lumpur three chinese friend â€ “ showgirl housekeeper chanteuse â€ “ find love heartbreak .,international,two,2010,,r
336,ageofrebellion,peter ho  jeanine yang  tammy chen  jason tsou  chang ting-hu  nana lee  nien hsuan wu,high school group unruly teen wreak havoc face bully navigate turbulent life beyond school grounds .,crime,one,2018,taiwan,r
337,ageoftanks,,history military tank unfolds documentary series trace role history geopolitics world war 21st century .,docuseries ,one,2017,germany  france  russia,tv-pg
338,agent,khumbulani kay sibiya  sisanda henna  tarynn wyngaard  anthony oseyemi  virgile bramly  manie malone  yannick konnan  vinaya sungkur  michaella russell  thabo malema,former footballer try make player agent world african soccer secret past threatens destroy everything .,international,one,2019,mauritius  south africa,r
339,agentraghav,sharad kelkar  aahana kumra  mahesh manjrekar  deepali pansare  danish pandor  jason tham  reena aggarwal  swati rajput,mix brilliance erudition skill enables modern sherlock holmes solve impossible case try heal personal wounds .,crime,one,2015,india,tv-pg
340,aggretsuko,kaolip  komegumi koiwasaki  maki tsuruta  sohta arai  rina inoue  shingo kato  yuki takahashi,frustrated thankless office job retsuko red panda cope daily struggle belting death metal karaoke work .,anime,three,2020,japan,tv-pg
347,ainorilovewagon:africanjourney,becky  ryo kato  karina maruyama  kohei takeda,find love seven stranger leave japan embark journey continent africa together. challenge adventure romance await !,international,one,2019,japan,tv-pg
348,ainorilovewagon:asianjourney,becky  audrey  mayuko kawakita  shimon okura,seven men woman board pink bus search true love. journey asia stranger goal return japan couple .,international,two,2018,japan,r
349,ainsleyeatsthestreets,ainsley harriott,celebrity chef ainsley harriott embarks journey around world explore relationship local street food cultural identity .,british,one,2014,united kingdom,tv-pg
356,ajandthequeen,rupaul charles  izzy g.  michael-leon wooley  josh segarra  katerina tannenbaum  tia carrere,traveling across country run-down rv drag queen ruby red discovers unlikely sidekick aj : tough-talking 10-year-old stowaway .,tv,one,2020,united states,tv-pg
358,ajaibnyacinta,,"upon returning home study abroad young grad akif find involved four woman continuation series "" spain uoolss . """,international,one,2015,,tv-pg
359,ajin:demi-human,mamoru miyano  yoshimasa hosoya  jun fukuyama  hochu otsuka  daisuke hirakawa  takahiro sakurai  mikako komatsu  hiroyuki kinoshita  aya suzaki,teenager discovers ajin flees authority experiment him. ajin plan fight back must choose side .,anime,two,2016,japan,r
362,akamegakill!,sora amamiya  soma saito  yukari tamura  yuu asakawa  mamiko noto  yoshitsugu matsuoka  katsuyuki konishi  risa mizuno  satomi akesaka,tatsumi set journey help poor village. ' rescued band assassin join fight corrupt government .,anime,one,2014,japan,tv-pg
363,akbarâ birbal,kiku sharda  vishal kotian  delnaaz irani,battle wit fight justice emperor akbar trusty advisor birbal display unique bond adventure mughal-era india .,kids',one,2019,india,tv-pg
364,akulahbalqis,puteri balqis  aeril zafrel  nabila huda  nazim othman  nadia brian  bella dally,little girl must enter orphanage parent arrested life take dramatic turn escape meet model .,international,one,2015,,tv-pg
366,alhayba,taim hasan  nadine nassib njeim  abdo chahine  oweiss mkhallalati  mona wassef,village lebanon-syria border head arms-smuggling clan contends family conflict power struggle complicated love .,crime,one,2017,lebanon,tv-pg
379,alexa&katie,paris berelc  isabel may  tiffani thiessen  emery kelly  jolie jenkins  kerri medders  finn carr  eddie shin,alexa battling cancer. best friend katie side ' also starting high school â€ “ ready whatever come next .,kids',four,2020,united states,tv-pg
388,aliasgrace,sarah gadon  edward holcroft  paul gross  anna paquin  rebecca liddiard  zachary levi  kerr logan  david cronenberg,19th-century canada psychiatrist weighs whether murderess pardoned due insanity. based margaret atwood ' award-winning novel .,crime,one,2017,canada,r
392,aliceinborderland,kento yamazaki  tao tsuchiya  nijiro murakami  yuki morinaga  keita machida  ayaka miyoshi  dori sakurada  aya asahina  shuntaro yanagi  yutaro watanabe  ayame misaki  mizuki yoshida  tsuyoshi abe  nobuaki kaneko  sho aoyagi  riisa naka,aimless gamer two friend find parallel tokyo ' forced compete series sadistic game survive .,international,one,2020,japan,r
395,alientv,rob tinkler  julie lemieux  john cleland  kyle dooley  rupert degas,alien reporter ixbee pixbee squee travel lovely odd planet called earth attempt make sense human hobbies .,kids',one,2020,,tv-y7
397,alienworlds,,applying law life earth rest galaxy series blend science fact fiction imagine alien life planets .,british,one,2020,united kingdom,tv-pg
403,allaboutthewashingtons,joseph simmons  justine simmons  kiana ledã©  nathan anderson  leah rose randall  maceo smedley  quincy fouse  dj ruckus  adain bradley  tim meadows  daymond john  erick chavarria  christopher clarke  aubrey cleland  arsenio hall  stephen schneider  max goudsmit  noah gerry  jamie vandyke  ashleigh hairston,hip-hop icon mc joe speed retires showbiz find new rhythm balancing business romance everyday family chaos .,tv,one,2018,united states,tv-pg
404,allamerican,daniel ezra  taye diggs  samantha logan  bre-z  greta onieogou  monet mazur  michael evans behling  cody christian  karimah westbrook  jalyn hall  jordan belfi  briana lane,culture clash brewing rivalry test teen football player south los angeles heâ€ ™s recruited beverly hill high school team .,tv,two,2019,united states,tv-pg
408,allforlove,ana marã­a estupiã±ã¡n  carlos torres  yuri vargas  jim muã±oz  julio sã¡nchez cã³ccaro  alina lozano  valeria gã¡lviz  juan millã¡n  juan del rã­o  mario duarte,penniless country boy go search runaway sister bogotã ¡ fall aspiring singer get tangled organized crime .,international,one,2020,colombia,r
410,allhailkingjulien,danny jacobs  andy richter  henry winkler  kevin michael richardson  india de beaufort  jeff bennett  david krumholtz  diedrich bader  debra wilson  sarah thyre  betsy sodaro,emmy winner outstanding children ' animated program madagascar booty-shaker king julien take jungleâ€ ™s craziest adventures .,kids',five,2017,united states,tv-y7
411,allhailkingjulien:exiled,danny jacobs  andy richter  kevin michael richardson  india de beaufort  jeff bennett  maurice lamarche,julien ' dethroned loyal friend unlikely ally propel lovable lemur colorful journey take back kingdom .,kids',one,2017,,tv-y7
425,almosthappy,sebastiã¡n wainraich  natalie pã©rez  santiago korovsky,sebastiã ¡ n radio show host modest fame trying find way world deal ex-wife ( still loves ) two kids .,international,one,2020,argentina,r
427,alone,,equipped limited resource isolated group individual subjected harsh condition wilderness must survive â€ ” tap .,reality,one,2019,,tv-pg
433,alphablocks,teresa gallagher  david holt  lizzie waterworth,letter alphabet come life alphaland read write spell way exciting world phonic fun .,kids',five,2014,united kingdom,tv-y
436,alteredcarbon,joel kinnaman  james purefoy  martha higareda  renã©e elise goldsberry  dichen lachman  will yun lee  kristin lehman  chris conner  ato essandoh  tamara taylor  byron mann,250 year ice prisoner return life new body one chance win freedom : solving mind-bending murder .,crime,two,2020,united states,r
439,alwaysawitch,angely gaviria  sebastiã¡n eslava  luis fernando hoyos  verã³nica orozco  lenard vanderaa  sofã­a araujo  dylan fuentes  valeria emiliani  dubã¡n prado  carlos quintero,young 17th-century witch time travel future save man love first must adjust present-day cartagena defeat dark rival .,international,two,2019,colombia,tv-pg
448,amazinginteriors,,meet eccentric homeowner whose seemingly ordinary space full surprise backyard roller coaster indoor aquarium .,british,one,2018,united kingdom,tv-pg
450,america'sbookofsecrets,jonathan adams,engaging documentary series share surprising backstories familiar institution like pentagon west point playboy mansion .,docuseries,one,2014,united states,tv-pg
451,america'snexttopmodel,tyra banks,supermodel tyra bank created executive-produced reality series chronicle transformation young woman potential supermodels .,reality,two,2013,united states,tv-pg
456,americancrime,felicity huffman  timothy hutton  elvis nolasco  regina king  lili taylor  richard cabral  brent anderson  benito martinez  shane jacobsen  w. earl brown  caitlin gerard  penelope ann miller  johnny ortiz,anthology series unfolds different story arc season drama focusing aspect american life criminal justice system .,crime,three,2017,united states,r
457,americancrimestory:thepeoplev.o.j.simpson,cuba gooding jr.  sarah paulson  john travolta  courtney b. vance  sterling k. brown  kenneth choi  christian clemenson  bruce greenwood  nathan lane  david schwimmer  chris bauer  jordana brewster  selma blair  connie britton,anthology series dramatizes historic criminal case u.s. including o.j. simpson trial andrew cunanan ' 1997 murder spree .,crime,one,2016,united states,r
459,americanexperience:thecircus,,exploration american circus spectacle evolved one-ring show cultural event eventually dying breed .,docuseries,one,2018,united states,tv-pg
467,americanhorrorstory,evan peters  sarah paulson  jessica lange  denis o'hare  kathy bates  angela bassett  lily rabe  frances conroy  cheyenne jackson  emma roberts  taissa farmiga  wes bentley  finn wittrock  chloã« sevigny  zachary quinto  jamie brewer  naomi grossman  dylan mcdermott  gabourey sidibe  lady gaga  mare winningham  joseph fiennes  michael chiklis  matt bomer  lizzie brocherã©  erika ervin  mat fraser  rose siggins  connie britton  james cromwell  adina porter  jyoti amge  billie lourde  alison pill  billy eichner  leslie grossman  colton haynes  cuba gooding jr.  andrã© holland  danny huston,twisted emmy-winning drama play upon power supernatural fear everyday horror exploring humankind ' unsettling capacity evil .,tv,nine,2019,united states,r
470,americanodyssey,anna friel  peter facinelli  jake robinson  jim true-frost  treat williams  sadie sink  omar ghazaoui  nate mooney  elena kampouris  daniella pineda  adewale akinnuoye-agbaje,elite soldier corporate lawyer political activist uncover deadly conspiracy linking terrorist powerful american corporation .,tv,one,2015,united states,tv-pg
474,americanvandal,tyler alvarez  griffin gluck  jimmy tatro  camille hyde  lou wilson  eduardo franco  jessica juarez  camille ramsey  calum worthy  g. hannelius  karly rothenberg,high school rocked act vandalism top suspect pleads innocence find ally filmmaker. satirical true crime mystery .,crime,two,2018,united states,r
477,amo,derek ramsay  vince rillon  allen dizon  felix roco  ruby ruiz,despite philippine government ' crackdown narcotic high schooler joseph expands drug running cop uncle profit corruption .,international,one,2017,philippines,r
493,aninnocentmistake,jason wang  mathilde lin  mo tzu yi  xi man-ning  lin mei-hsiu  kelly huang  joy pan,raised three mother self-assured teen turmoil meet father figure never had. also stand drive man son apart .,international,one,2012,taiwan,tv-pg
503,ancientaliens,robert clotworthy,ancient human really behind important technological advance civilized history extraterrestrial help ?,docuseries ,one,2018,united states,tv-pg
514,angel'n'devil,simon lian  teddy chen  sylvia wang  cosmos lin  ting liu  lucia chen  allie ji  sunnee yang  na wei-hsun,world known copper dimension group high-school girl fight dark force â€ “ inner demons .,international,one,2014,taiwan,tv-pg
515,angelbeats!,hiroshi kamiya  harumi sakurai  kana hanazawa  eri kitamura  ryohei kimura  takahiro mizushima  shun takagi  fuko saito  yui makino  hiro masuda  michael rivas  eiichiro tokumoto  yumiko kobayashi  hiroki touchi  miyuki sawashiro  chie matsuura  kana asumi  emiri kato,high school ' way station afterlife teenager get caught battle right purgatorial world .,anime,one,2010,japan,tv-pg
522,angrybirds,antti pã¤ã¤kkã¶nen  heljã¤ heikkinen  lynne guaglione  pasi ruohonen  rauno ahonen,bird red chuck feathered friend lot adventure guarding egg nest pesky pig keep trying steal .,kids',three,2018,finland,tv-y7
530,anitta:madeinhonã³rio,anitta,intimate documentary brazilian pop queen anitta open fame family fierce work ethic revealing woman behind hits .,docuseries ,one,2020,brazil,r
532,anjaan:ruralmyths,,spine-chilling story malevolent spirit unfold village jungle haunted building across india .,international,one,2018,india,tv-pg
533,anjaan:specialcrimesunit,gashmeer mahajani  heena parmar,case supernatural ; police officer human. together cop aditi vikrant must solve mystery realm paranormal .,international,one,2018,india,tv-pg
538,annewithane,amybeth mcnulty  geraldine james  r.h. thomson  corrine koslo  dalila bela  lucas jade zumann  aymeric jett montaz,"plucky orphan whose passion run deep find unlikely home spinster soft-spoken bachelor brother. based "" anne green gables . """,international,three,2019,canada,tv-pg
539,anohana:theflowerwesawthatday,miyu irino  ai kayano  haruka tomatsu  takahiro sakurai  saori hayami  takayuki kondo  mitsuru ogata  mutsumi tamura  asami seto  aki toyosaki  kaoru mizuhara  yui makino,teen haunted spirit old friend summons member childhood club help fulfill girl ' final wish .,anime,one,2011,japan,tv-pg
542,anotherlife,katee sackhoff  justin chatwin  samuel anderson  blu hunt  aj rivera  jake abel  alex ozerov  alexander eling  lina renna  selma blair,massive alien artifact land earth niko breckinridge lead interstellar mission track source make first contact .,tv,one,2019,united states,r
543,anothermissoh,seo hyun-jin  eric moon  jeon hye-bin  ye ji-won  kim ji-seok  lee jae-yoon  lee han-wi  kim mee-kyeong  oh man-seok  lee pil-mo,sound director suddenly start getting vision someone elseâ€ ™s future get mired life two woman happen share name .,international,one,2016,south korea,r
544,answerforheaven,sunny suwanmethanont  kan kantathavorn  pattarasaya kreuasuwansri  chayanan manomaisantiphap  suwaphat techaviriyawong  prachakorn piyasakulkaew  nattarika thampridanant  michael shaowanasai  pattanachai adirek,angel fall earth investigate human fewer good deed â€ “ fall hard-charging crime reporter news team .,crime,one,2019,,r
